2013-12-08 12:45:58,"","","","",20.94,"","",
2013-12-08 12:45:59,"","","","","",14.81,"",
2013-12-08 12:46:00,18.81,"","","","","","",
2013-12-08 12:46:13,"","","","",20.94,"","",
2013-12-08 12:46:14,"","","","","",14.75,"",
2013-12-08 12:46:15,18.75,"","","","","","",
2013-12-08 14:42:07,"","","","",20.94,"","",
2013-12-08 14:42:08,"","","","","",14.44,"",
2013-12-08 14:42:09,17.94,"","","","","","",
2013-12-08 14:45:03,"","","","",21.00,"","",
2013-12-08 14:45:04,"","","","","",14.44,"",
2013-12-08 14:45:05,18.00,"","","","","","",
2013-12-08 14:50:03,"","","","",21.00,"","",
2013-12-08 14:50:04,"","","","","",14.38,"",
2013-12-08 14:50:05,18.12,"","","","","","",
2013-12-08 14:55:03,"","","","",20.94,"","",
2013-12-08 14:55:04,"","","","","",14.38,"",
2013-12-08 14:55:06,18.00,"","","","","","",
2013-12-08 15:00:03,"","","","",20.94,"","",
2013-12-08 15:00:04,"","","","","",14.38,"",
2013-12-08 15:00:05,18.25,"","","","","","",
2013-12-08 15:05:03,"","","","",21.00,"","",
2013-12-08 15:05:04,"","","","","",14.38,"",
2013-12-08 15:05:05,18.00,"","","","","","",
2013-12-08 15:10:03,"","","","",21.00,"","",
2013-12-08 15:10:04,"","","","","",14.38,"",
2013-12-08 15:10:05,18.31,"","","","","","",
2013-12-08 15:15:03,"","","","",21.00,"","",
2013-12-08 15:15:04,"","","","","",14.38,"",
2013-12-08 15:15:05,18.38,"","","","","","",
2013-12-08 15:20:02,"","","","",21.06,"","",
2013-12-08 15:20:04,"","","","","",14.38,"",
2013-12-08 15:20:05,17.94,"","","","","","",
2013-12-08 15:25:03,"","","","",21.06,"","",
2013-12-08 15:25:04,"","","","","",14.44,"",
2013-12-08 15:25:05,17.94,"","","","","","",
2013-12-08 15:30:03,"","","","",21.06,"","",
2013-12-08 15:30:04,"","","","","",14.44,"",
2013-12-08 15:30:05,17.81,"","","","","","",
2013-12-08 15:35:03,"","","","",21.06,"","",
2013-12-08 15:35:04,"","","","","",14.50,"",
2013-12-08 15:35:05,17.94,"","","","","","",
2013-12-08 15:40:03,"","","","",21.06,"","",
2013-12-08 15:40:04,"","","","","",14.44,"",
2013-12-08 15:40:05,17.75,"","","","","","",
2013-12-08 15:45:03,"","","","",21.06,"","",
2013-12-08 15:45:04,"","","","","",14.50,"",
2013-12-08 15:45:05,17.81,"","","","","","",
2013-12-08 15:50:03,"","","","",21.12,"","",
2013-12-08 15:50:04,"","","","","",14.50,"",
2013-12-08 15:50:05,18.00,"","","","","","",
2013-12-08 15:55:03,"","","","",21.06,"","",
2013-12-08 15:55:04,"","","","","",14.50,"",
2013-12-08 15:55:05,18.00,"","","","","","",
2013-12-08 16:00:03,"","","","",21.12,"","",
2013-12-08 16:00:04,"","","","","",14.50,"",
2013-12-08 16:00:05,18.12,"","","","","","",
2013-12-08 16:05:03,"","","","",21.12,"","",
2013-12-08 16:05:04,"","","","","",14.50,"",
2013-12-08 16:05:05,18.00,"","","","","","",
2013-12-08 16:10:03,"","","","",21.12,"","",
2013-12-08 16:10:04,"","","","","",14.56,"",
2013-12-08 16:10:05,18.12,"","","","","","",
2013-12-08 16:15:03,"","","","",21.12,"","",
2013-12-08 16:15:04,"","","","","",14.56,"",
2013-12-08 16:15:05,18.06,"","","","","","",
2013-12-08 16:20:03,"","","","",21.06,"","",
2013-12-08 16:20:04,"","","","","",14.56,"",
2013-12-08 16:20:05,18.19,"","","","","","",
2013-12-08 16:25:03,"","","","",21.12,"","",
2013-12-08 16:25:04,"","","","","",14.56,"",
2013-12-08 16:25:05,18.44,"","","","","","",
2013-12-08 16:30:03,"","","","",21.06,"","",
2013-12-08 16:30:04,"","","","","",14.56,"",
2013-12-08 16:30:05,18.12,"","","","","","",
2013-12-08 16:35:03,"","","","",21.12,"","",
2013-12-08 16:35:04,"","","","","",14.62,"",
2013-12-08 16:35:05,18.12,"","","","","","",
2013-12-08 16:40:03,"","","","",21.19,"","",
2013-12-08 16:40:04,"","","","","",14.56,"",
2013-12-08 16:40:05,18.38,"","","","","","",
2013-12-08 16:45:03,"","","","",21.19,"","",
2013-12-08 16:45:04,"","","","","",14.62,"",
2013-12-08 16:45:05,18.00,"","","","","","",
2013-12-08 16:50:03,"","","","",21.19,"","",
2013-12-08 16:50:04,"","","","","",14.62,"",
2013-12-08 16:50:05,18.00,"","","","","","",
2013-12-08 16:55:03,"","","","",21.19,"","",
2013-12-08 16:55:04,"","","","","",14.62,"",
2013-12-08 16:55:05,18.25,"","","","","","",
2013-12-08 17:00:02,"","","","",21.19,"","",
2013-12-08 17:00:04,"","","","","",14.62,"",
2013-12-08 17:00:05,17.81,"","","","","","",
2013-12-08 17:05:03,"","","","",21.25,"","",
2013-12-08 17:05:04,"","","","","",14.62,"",
2013-12-08 17:05:05,18.06,"","","","","","",
2013-12-08 17:10:03,"","","","",21.25,"","",
2013-12-08 17:10:04,"","","","","",14.69,"",
2013-12-08 17:10:05,18.00,"","","","","","",
2013-12-08 17:15:03,"","","","",21.25,"","",
2013-12-08 17:15:04,"","","","","",14.62,"",
2013-12-08 17:15:05,18.38,"","","","","","",
2013-12-08 17:20:03,"","","","",21.25,"","",
2013-12-08 17:20:04,"","","","","",14.62,"",
2013-12-08 17:20:05,18.19,"","","","","","",
2013-12-08 17:25:02,"","","","",21.25,"","",
2013-12-08 17:25:04,"","","","","",14.69,"",
2013-12-08 17:25:05,17.88,"","","","","","",
2013-12-08 17:30:03,"","","","",21.25,"","",
2013-12-08 17:30:04,"","","","","",14.69,"",
2013-12-08 17:30:05,17.81,"","","","","","",
2013-12-08 17:35:03,"","","","",21.25,"","",
2013-12-08 17:35:04,"","","","","",14.69,"",
2013-12-08 17:35:05,17.81,"","","","","","",
2013-12-08 17:40:03,"","","","",21.25,"","",
2013-12-08 17:40:04,"","","","","",14.69,"",
2013-12-08 17:40:05,17.88,"","","","","","",
2013-12-08 17:45:03,"","","","",21.31,"","",
2013-12-08 17:45:04,"","","","","",14.69,"",
2013-12-08 17:45:05,18.12,"","","","","","",
2013-12-08 17:50:03,"","","","",21.25,"","",
2013-12-08 17:50:05,"","","","","",14.69,"",
2013-12-08 17:50:06,18.12,"","","","","","",
2013-12-08 17:55:03,"","","","",21.31,"","",
2013-12-08 17:55:04,"","","","","",14.69,"",
2013-12-08 17:55:05,17.81,"","","","","","",
2013-12-08 18:00:03,"","","","",21.31,"","",
2013-12-08 18:00:04,"","","","","",14.75,"",
2013-12-08 18:00:05,18.25,"","","","","","",
2013-12-08 18:05:03,"","","","",21.31,"","",
2013-12-08 18:05:04,"","","","","",14.69,"",
2013-12-08 18:05:05,18.25,"","","","","","",
2013-12-08 18:10:03,"","","","",21.31,"","",
2013-12-08 18:10:04,"","","","","",14.75,"",
2013-12-08 18:10:05,17.94,"","","","","","",
2013-12-08 18:15:03,"","","","",21.31,"","",
2013-12-08 18:15:04,"","","","","",14.75,"",
2013-12-08 18:15:06,18.06,"","","","","","",
2013-12-08 18:20:03,"","","","",21.12,"","",
2013-12-08 18:20:04,"","","","","",14.88,"",
2013-12-08 18:20:05,17.06,"","","","","","",
2013-12-08 18:25:03,"","","","",21.38,"","",
2013-12-08 18:25:04,"","","","","",14.94,"",
2013-12-08 18:25:05,17.75,"","","","","","",
2013-12-08 18:30:03,"","","","",21.38,"","",
